city,day_avg,night_avg,day_var,night_var,part_date
2303,3872.808938,1302.871947,4816.057043,1616.037895,20200125
2313,3766.572597,1276.339484,3877.306652,1321.423284,20200125
2302,4958.124577,1563.910364,5929.207627,1817.785968,20200125
2305,4608.730195,1592.222522,5363.728824,1771.341525,20200125
2307,4284.35032,1467.700031,5180.228695,1754.036531,20200125
2310,4270.271144,1463.994818,4848.944447,1549.589703,20200126
2312,3409.731623,1069.111001,4125.665002,1276.910575,20200126
2301,4976.136096,1835.484907,6257.580636,2333.018278,20200126
2306,5732.420603,2148.352941,5740.28615,2188.656642,20200126
2303,3831.071137,1450.207646,4638.71801,1763.176232,20200126
2308,3997.919787,1510.909147,4996.480705,1886.543807,20200126
2305,4594.839345,1810.871269,5325.916879,2003.548302,20200126
2313,3810.941599,1481.998684,3894.567288,1567.044575,20200126
2304,4554.877053,1649.701322,5748.62752,2006.64326,20200126
2311,4341.715051,1576.954732,4744.677756,1717.816738,20200126
2302,4981.861995,1785.351398,5821.252479,1989.477381,20200126
2307,4351.392923,1687.054454,5144.019222,1983.321159,20200126
2309,4781.127293,1707.130578,5797.989483,1894.063998,20200126
2310,4259.421587,1456.014295,4829.196825,1541.705468,20200127
2305,4540.131382,1696.288501,5335.166717,1892.887073,20200127
2303,3773.984585,1334.479713,4555.203547,1619.032128,20200127
2309,4869.528575,1672.434067,5789.515673,1841.876225,20200127
2301,5037.946328,1778.843185,6333.102876,2233.08621,20200127
2307,4452.229408,1664.764796,5264.628413,1937.157859,20200127
2312,3381.817688,1047.406126,4111.83862,1252.998325,20200127
2302,4982.23342,1714.533592,5873.319029,1925.428957,20200127
2304,4548.334971,1619.835353,5800.14711,1971.316587,20200127
2308,4007.094359,1432.241846,4984.623411,1768.206287,20200127
2311,4504.8229,1616.557072,4807.8549,1726.747649,20200127
2306,5281.778764,1878.234088,5319.400032,1842.662823,20200127
2313,3876.559283,1455.853828,3990.017385,1519.758686,20200127
2311,4318.290459,1484.000118,4696.542794,1598.477566,20200128
2313,3529.050116,1229.494829,3731.859246,1286.187659,20200128
2303,3633.526507,1211.452891,4460.705107,1484.558395,20200128
2301,4764.050386,1612.641669,6080.866993,2029.348237,20200128
2308,3748.049036,1319.974969,4704.128801,1641.891852,20200128
2305,4349.220008,1512.462848,5228.964055,1713.124881,20200128
2310,4114.28678,1348.14857,4748.919126,1455.107449,20200128
2304,4362.221701,1453.594695,5671.465635,1803.487626,20200128
2307,4162.226648,1492.206044,5026.272996,1754.973643,20200128
2302,4732.976327,1583.861465,5707.063351,1829.051295,20200128
2309,4712.427615,1556.751185,5701.068308,1758.797443,20200128
2306,5114.634027,1663.185129,5247.0704,1636.688637,20200128
2312,3280.342222,1009.095802,4025.844357,1217.465046,20200128
2310,4104.225492,1314.580311,4776.424829,1435.772857,20200129
2311,4205.014955,1368.834668,4634.406879,1508.684703,20200129
2308,3687.045744,1228.230769,4650.667251,1525.348183,20200129
2313,3480.235453,1139.603619,3720.57413,1195.023927,20200129
2312,3269.779753,977.3950617,3991.318672,1177.387284,20200129
2306,4931.304468,1569.990208,5124.544253,1548.123083,20200129
2302,4621.399159,1471.673425,5664.091399,1729.190767,20200129
2304,4299.163646,1379.389847,5638.881072,1721.185818,20200129
2307,3967.257252,1330.264122,4887.518756,1578.653761,20200129
2301,4715.574393,1504.374843,6067.017061,1900.858685,20200129
2303,3611.454207,1165.697551,4480.55468,1447.37007,20200129
2305,4283.450903,1450.545983,5174.346498,1659.05497,20200129
2309,4664.346808,1505.442989,5639.302418,1711.157465,20200129
2304,4263.627631,1346.524915,5603.791181,1679.230104,20200130
2302,4633.982204,1447.068436,5697.198195,1697.203934,20200130
2308,3524.511284,1149.184038,4408.030675,1399.386593,20200130
2306,4956.558175,1554.076852,5134.33256,1532.507163,20200130
2312,3075.197927,903.8351431,3782.212565,1072.377527,20200130
2310,4129.803231,1313.80551,4788.642766,1431.227709,20200130
2301,4792.903936,1509.742436,6164.414522,1912.75649,20200130
2303,3647.426734,1174.690083,4529.98375,1470.882806,20200130
2313,3535.689469,1137.798845,3777.949592,1192.009303,20200130
2309,4587.726004,1464.325614,5528.280968,1644.20166,20200130
2305,4296.865504,1428.173724,5218.345493,1644.240675,20200130
2307,3890.330331,1255.468325,4798.54376,1486.519692,20200130
